timestamp,order_value,avg_price,mid_price,btc_executed,slippage,predicted_slippage,fee,market_impact,latency_ms
1747708909006,100.0,106294.0,106261.95,0.0009407868741415319,0.030161313621670703,0.003824051776476267,0.1,9.496376735671019e-06,0.003499999365885742
1747708909106,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.00352914084444933,0.1,9.496376735671019e-06,0.02409999979136046
1747708909206,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0032769480338288304,0.1,9.496376735671019e-06,0.014600000213249587
1747708909306,100.0,106306.6,106296.4,0.0009406753672866971,0.009595809453576644,0.008736732772341327,0.1,9.495240687528969e-06,0.04269999953976367
1747708909406,100.0,106317.2,106301.7,0.0009405815804027946,0.014581140282798864,0.013641711238825849,0.1,9.494285174967248e-06,0.012200000128359534
1747708909506,100.0,106294.0,106291.1,0.0009407868741415319,0.0027283563722589935,0.0032878956902138157,0.1,9.496376735671019e-06,0.013300000318849925
1747708909606,100.0,106294.0,106285.0,0.0009407868741415319,0.008467798842734157,0.0036081573782524856,0.1,9.496376735671019e-06,0.01559999964229064
1747708909706,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0034008018354541036,0.1,9.496376735671019e-06,0.020899999981338624
1747708909806,100.0,106305.5,106299.7,0.0009406851009590285,0.005456271278284803,0.00824636565549497,0.1,9.495339855506916e-06,2.544599999964703
1747708909906,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0031318743216459666,0.1,9.496376735671019e-06,0.01720000000204891
1747708910006,100.0,106296.1,106295.0,0.0009407682878299392,0.0010348558257733862,0.003912435099572065,0.1,9.49618737543804e-06,0.014700000065204222
1747708910106,100.0,106297.0,106285.35,0.0009407603224926385,0.010961059073516884,0.004587777325369302,0.1,9.49610622336403e-06,0.014500000361294951
1747708910206,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0031250648604768116,0.1,9.496376735671019e-06,0.015099999473022763
1747708910306,100.0,106294.0,106291.5,0.0009407868741415319,0.0023520225041513197,0.0030900484148261853,0.1,9.496376735671019e-06,0.019099999917671084
1747708910406,100.0,106306.8,106300.35,0.0009406735975497334,0.006067712853247509,0.008566003780444476,0.1,9.495222657210049e-06,0.01849999989644857
1747708910506,100.0,106305.3,106299.6,0.0009406868707392764,0.005362202679969717,0.0077605394462167965,0.1,9.49535788627089e-06,0.017999999727180693
1747708910606,100.0,106294.0,106272.85,0.0009407868741415319,0.01990160233775059,0.0037058705279662263,0.1,9.496376735671019e-06,0.012500000593718141
1747708910706,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0035565031449635853,0.1,9.496376735671019e-06,0.01919999976962572
1747708910806,100.0,106294.0,106290.1,0.0009407868741415319,0.003669203434745267,0.003560923541421346,0.1,9.496376735671019e-06,0.023099999452824704
1747708910906,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.003428301699351266,0.1,9.496376735671019e-06,0.018900000213761814
1747708911006,100.0,106349.7,106301.1,0.000940294142813755,0.0457191882304052,0.037300048717057166,0.1,9.491356735638535e-06,0.023999999939405825
1747708911106,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0028074727767517516,0.1,9.496376735671019e-06,0.01559999964229064
1747708911206,100.0,106305.3,106294.75,0.0009406868707392764,0.00992523149073958,0.009826370186601707,0.1,9.49535788627089e-06,0.026300000172341242
1747708911306,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0027179169388773516,0.1,9.496376735671019e-06,0.017999999727180693
1747708911406,100.0,106294.0,106293.95,0.0009407868741415319,4.7039365836823625e-05,0.0026320243098894025,0.1,9.496376735671019e-06,0.012100000276404899
1747708911506,100.0,106306.8,106300.35,0.0009406735975497334,0.006067712853247509,0.010477171679184494,0.1,9.495222657210049e-06,0.020000000404252205
1747708911706,100.0,106294.0,106272.7,0.0009407868741415319,0.020042776743230305,0.003088190953256742,0.1,9.496376735671019e-06,0.007499999810534064
1747708911906,100.0,106307.7,106300.75,0.0009406656338158008,0.006538053588518509,0.011136903335135173,0.1,9.495141521622217e-06,0.0054000001910026185
1747708912106,100.0,106305.6,106289.65,0.0009406842160714017,0.015006164758291746,0.010055932386642041,0.1,9.495330840150604e-06,0.009700000191514846
1747708912206,100.0,106351.52630328132,106301.25,0.0009402779957744211,0.047296060282756444,0.041106517728877634,0.1,9.491192228677967e-06,0.012700000297627412
1747708912406,100.0,106294.0,106285.05,0.0009407868741415319,0.008420751554425659,0.0030612455048668608,0.1,9.496376735671019e-06,0.0068999997893115506
